Chrom	Start	End	Cytoband	EC_T1_vs_EC_O1	EC_T2_vs_EC_O2	EC_T3_vs_EC_O3	EC_T4_vs_EC_O4
21	6800000	10900000	21p11.2	-0.079	-0.184	-0.117	-0.098
4	120800000	123800000	4q27	-0.585	-0.01	-0.04	0.084
5	58900000	62900000	5q12.1	0.196	0.014	-0.025	0.084
15	42800000	43600000	15q15.2	-0.433	0.01	0.091	0.0702727272727273
7	117400000	121100000	7q31.31	0.041	-0.007	-0.006	0.012
1	69700000	84900000	1p31.1	0.161	0.039	0.02	0.00339622641509434
16	88700000	90354753	16q24.3	-0.298	0.08	0.04	-0.0819999999999999
10	94100000	97000000	10q23.33	0.196	-0.007	0.056	0.188888888888889
1	56100000	59000000	1p32.2	0.161	0.039	0.02	-0.073
7	103800000	104500000	7q22.2	0.041	-0.007	-0.006	0.012
3	102800000	106200000	3q13.11	0.082	-0.044	-0.046	0.067
2	16700000	19200000	2p24.2	-0.041	0.023	0.01	-0.014
14	67900000	70200000	14q24.1	0.386	0.045	0.074	-0.01
12	120700000	125900000	12q24.31	-0.341	0.035	0.025	0.000933333333333312
3	187900000	192300000	3q28	0.082	-0.016	0.005	0.064
1	156500000	159100000	1q23.1	0.069	-0.027	0.011	0
8	78300000	80100000	8q21.12	0	0.001	-0.001	0.023
16	72900000	74100000	16q22.3	-0.298	0.08	0.04	-0.082
2	73500000	75000000	2p13.1	-0.041	0.023	0.01	-0.03
2	55000000	61300000	2p16.1	-0.041	0.023	0.01	0.167
6	46200000	51800000	6p12.3	-0.012	0.00800000000000001	-0.004	0.006
6	57000000	58700000	6p11.2	-0.012	0.008	-0.004	0.006
15	98500000	102531392	15q26.3	-0.632999999999999	-0.048	-0.079	-0.087
5	42500000	46100000	5p12	0.196	0.014	-0.025	0.084
18	19000000	25000000	18q11.2	-0.04	-0.044	-0.011	0.115
9	102600000	108200000	9q31.1	0.126	-0.039	0.023	0.043
1	190800000	193800000	1q31.2	-0.103	-0.027	0.011	0
7	155100000	159138663	7q36.3	0.174	-0.009	-0.072	-0.115
14	58100000	62100000	14q23.1	-0.03	0.045	0.074	0.0783214285714287
4	95100000	98800000	4q22.3	-0.585	-0.01	-0.04	0.084
12	80300000	86700000	12q21.31	-0.625	0.035	-0.051	0.033
21	35800000	37800000	21q22.12	0.0886470588235294	-0.03	0.058	0.112
10	97000000	99300000	10q24.1	0.35625	-0.0070625	0.056	-0.0565625
6	118500000	126100000	6q22.31	-0.042	0.00800000000000001	-0.004	0.141035714285714
8	52200000	52600000	8q11.22	0.158	0.013	-0.001	0.023
9	19900000	25600000	9p21.3	-0.0950000000000001	-0.046	-0.02	-0.037
20	42100000	46400000	20q13.12	0.788181818181819	0	0.002	-0.121
6	0	2300000	6p25.3	0.046	0.008	0.149	-0.082
14	94700000	96300000	14q32.13	0.226	0.045	0	-0.01
6	135200000	139000000	6q23.3	-0.042	0.00800000000000001	0.001	0.066
16	34600000	36600000	16p11.1	-0.463	0.009	-0.02	-0.138
9	43600000	47300000	9p11.2	0.126	-0.046	0.019	-0.037
6	127100000	130300000	6q22.33	-0.042	0.008	-0.004	0.066
1	99700000	102200000	1p21.2	-0.037	0.039	0.02	0
7	35000000	37200000	7p14.2	-0.052	-0.119	0.002	0.18875
17	16000000	22200000	17p11.2	-0.664276595744682	0.0599999999999999	0.10763829787234	-0.0510000000000001
17	64200000	67100000	17q24.2	0.097	0.104	0.116	0.0635333333333333
5	102800000	104500000	5q21.2	0.091	0.001	-0.025	-0.001
3	119000000	121900000	3q13.33	0.082	0.00490624999999999	-0.046	0.067
4	76300000	78900000	4q21.1	-0.585	-0.01	-0.04	0.084
3	11800000	13300000	3p25.2	0.265769230769231	-0.042	-0.004	-0.074
4	88000000	93700000	4q22.1	-0.585	-0.01	-0.04	0.084
13	17900000	19500000	13q11	-0.218	-0.026	-0.051	0.357
7	50500000	54000000	7p12.1	0.077	0.055	0.072	-0.004
9	96600000	99300000	9q22.32	0.126	0.0716153846153846	0.019	0.0777692307692308
10	3000000	3800000	10p15.2	0.426	-0.029	-0.055	0.053
3	106200000	107900000	3q13.12	0.082	-0.044	-0.046	0.067
20	25600000	27500000	20p11.1	0.288125	0	0.002	-0.06
1	46800000	50700000	1p33	0.161	0.039	0.02	-0.073
4	70500000	76300000	4q13.3	-0.585000000000001	-0.01	-0.04	0.084
8	62200000	66000000	8q12.3	0	0.231666666666667	-0.001	0.023
3	184500000	186000000	3q27.2	0.082	-0.016	0.005	0.064
11	36400000	43500000	11p12	0.09	-0.061	-0.044	-0.096
10	111900000	114900000	10q25.2	0.3	-0.009	0.0504347826086957	0.022
3	74200000	79800000	3p12.3	0.082	-0.044	-0.046	0.025
9	14200000	16600000	9p22.3	-0.095	-0.046	-0.02	0.024
12	71500000	75700000	12q21.1	-0.625	0.035	-0.051	0.033
15	19000000	20700000	15q11.1	-0.387	0.079	-0.051	-0.133
5	104500000	109600000	5q21.3	0.091	0.001	-0.025	-0.001
4	52700000	59500000	4q12	-0.585000000000001	-0.01	-0.04	0.084
10	17300000	18600000	10p12.33	0.162	-0.029	-0.055	0.053
8	52600000	55500000	8q11.23	0.158	0.013	-0.001	0.023
11	2800000	10700000	11p15.4	0.11204	-0.0254	-0.0439999999999998	-0.129
1	68900000	69700000	1p31.2	0.161	0.039	0.02	0.06
13	87700000	90000000	13q31.2	-0.459	-0.02	-0.033	0.127
1	102200000	107200000	1p21.1	-0.037	0.039	0.02	0
11	121200000	123900000	11q24.1	0.059	-0.05	0.021	-0.052
2	114400000	118800000	2q14.1	0.007	-0.022	0.01	0.053
4	27700000	35800000	4p15.1	-0.585	-0.009	-0.04	0.084
4	78900000	82400000	4q21.21	-0.585	-0.01	-0.04	0.084
10	52900000	61200000	10q21.1	0.162	-0.029	-0.055	-0.025
19	14000000	16300000	19p13.12	-0.590000000000001	0.153	0.194823529411764	-0.161
20	29400000	32100000	20q11.21	0.491	0	0.002	-0.06
9	16600000	18500000	9p22.2	-0.095	-0.046	-0.02	0.377333333333333
7	121100000	123800000	7q31.32	0.041	-0.007	-0.006	0.012
5	139500000	144500000	5q31.3	0.409999999999999	0.001	-0.0249999999999999	-0.001
22	41000000	44200000	22q13.2	-0.225246153846154	0.0899999999999999	0.118738461538462	-0.123
12	86700000	89000000	12q21.32	-0.625	0.035	-0.051	0.033
4	6000000	11300000	4p16.1	0.0121132075471698	-0.009	-0.04	0.084
5	130600000	136200000	5q31.1	0.312550724637681	0.001	-0.025	-0.001
20	58400000	63025520	20q13.33	1	0	0.0387545454545455	-0.191490909090909
20	12100000	17900000	20p12.1	0.016	0	0.002	-0.06
17	44900000	47400000	17q21.32	0.0970000000000001	0.06	0.116	0.0195000000000001
5	168500000	172800000	5q35.1	0.364	0.001	-0.025	-0.001
19	38700000	43400000	19q13.2	-0.694806666666668	0.153	0.180753333333334	-0.147
11	59900000	61700000	11q12.2	0.0899999999999999	0.0830000000000001	-0.025	-0.0960000000000001
6	51800000	52900000	6p12.2	-0.012	0.008	-0.004	0.006
4	101100000	107700000	4q24	-0.585	-0.01	-0.04	0.084
15	20700000	25700000	15q11.2	-0.387	0.0272499999999998	-0.0510000000000001	-0.133
9	114900000	117700000	9q32	0.217	0.0441578947368421	0.023	-0.0494736842105263
9	2200000	4600000	9p24.2	-0.095	-0.046	-0.02	0.024
18	7100000	8500000	18p11.23	-0.029	-0.033	-0.081	0.115
17	47400000	50200000	17q21.33	0.097	0.0592391304347826	0.116	-0.003
4	170100000	171900000	4q33	-0.585	-0.042	-0.04	0.122
5	48400000	50700000	5q11.1	0.196	0.014	-0.025	0.084
5	18400000	23300000	5p14.3	0.196	-0.016	-0.025	-0.029
2	136800000	142200000	2q22.1	-0.485	-0.022	0.01	0.053
10	114900000	119100000	10q25.3	0.443	-0.009	-0.072	0.0560606060606061
18	59000000	61600000	18q21.33	-0.108	-0.044	-0.075	0.0102105263157895
2	52900000	55000000	2p16.2	-0.041	0.023	0.01	0.167
1	92000000	94700000	1p22.1	-0.037	0.039	0.02	0
1	165500000	167200000	1q24.1	0.069	-0.027	0.011	0
15	94300000	98500000	15q26.2	-0.633	-0.048	-0.079	-0.087
16	56700000	57400000	16q13	-0.463	-0.013	-0.02	-0.107
15	40100000	42800000	15q15.1	-0.51520895522388	0.01	0.0910000000000001	-0.047
10	82000000	87900000	10q23.1	0.196	-0.007	0.056	-0.068
8	0	2200000	8p23.3	-0.946	0.013	-0.001	0.023
1	20400000	23900000	1p36.12	0.339846153846154	0.039	0.022	-0.073
2	36600000	38600000	2p22.2	-0.041	0.023	0.01	0.167
19	35500000	38300000	19q13.12	-0.617425531914893	0.153	0.141	-0.147
6	126100000	127100000	6q22.32	-0.042	0.008	-0.004	0.066
6	100600000	105500000	6q16.3	-0.042	0.008	-0.004	0.143
2	122400000	129900000	2q14.3	-0.485	-0.022	0.01	0.053
11	102100000	102900000	11q22.2	-0.11	-0.05	0.021	-0.096
1	34600000	40100000	1p34.3	0.161	0.039	0.182486486486487	-0.0730000000000001
12	33300000	35800000	12p11.1	-0.418	0.014	-0.042	0.033
8	55500000	61600000	8q12.1	0.055	0.013	-0.001	0.023
12	111700000	112300000	12q24.12	-0.196	0.035	0.025	-0.004
11	0	2800000	11p15.5	0.483381443298969	0.0984742268041237	-0.044	-0.129
5	111500000	113100000	5q22.2	0.268375	0.001	-0.025	-0.001
22	48400000	49400000	22q13.32	-0.163	0.09	0.043	-0.174
13	77200000	79000000	13q22.3	-0.459	-0.02	-0.033	0.127
6	149000000	152500000	6q25.1	-0.042	0.00800000000000001	0.001	0.00870967741935483
12	96200000	101600000	12q23.1	-0.625	0.035	0.025	0.033
9	117700000	122500000	9q33.1	0.382	0.022	0.023	-0.082
2	178000000	180600000	2q31.2	-0.485	-0.011	0.01	0.053
